status	original_url	effective_url	file
000	https://agn.gob.mx	https://agn.gob.mx/	references/databases-by-region.md:271
000	https://an.gov.br	https://an.gov.br/	references/databases-by-region.md:270
000	https://arch.be	https://arch.be/	references/databases-by-region.md:162
000	https://archivi.cultura.gov.it/archivi-di-stato	https://archivi.cultura.gov.it/archivi-di-stato	references/local-databases-by-country.md:169
000	https://arxeiomnimon.gak.gr/	https://arxeiomnimon.gak.gr/	references/local-databases-by-country.md:269
000	https://billiongraves.com/	https://billiongraves.com/	references/source-access-catalog.md:191
000	https://castlegarden.org	https://castlegarden.org/	references/databases-by-region.md:221
000	https://dl.antenati.cultura.gov.it	https://dl.antenati.cultura.gov.it/	references/databases-by-region.md:177
000	https://eresursi.arhivi.gov.lv/	https://eresursi.arhivi.gov.lv/	references/local-databases-by-country.md:230
000	https://genby.by	https://genby.by/	references/databases-by-region.md:119
000	https://kirchenbuchportal.de	https://kirchenbuchportal.de/	references/databases-by-region.md:80
000	https://lvva.gov.lv	https://lvva.gov.lv/	references/databases-by-region.md:118
000	https://pra.in.ua	https://pra.in.ua/	references/databases-by-region.md:130
000	https://san.beniculturali.it/	https://san.beniculturali.it/	references/local-databases-by-country.md:168
000	https://sok.riksarkivet.se/data-api/api	https://sok.riksarkivet.se/data-api/api	references/source-access-catalog.md:65
000	https://sok.riksarkivet.se/data-api/api/anvandarvillkor-api	https://sok.riksarkivet.se/data-api/api/anvandarvillkor-api	references/source-access-catalog.md:65
000	https://sok.riksarkivet.se/data-api/nedladdningsbara-datamangder/	https://sok.riksarkivet.se/data-api/nedladdningsbara-datamangder/	references/source-access-catalog.md:65
000	https://vac.sjas.gov.si/	https://vac.sjas.gov.si/	references/local-databases-by-country.md:263
000	https://virtualbiblioteka.lt	https://virtualbiblioteka.lt/	references/databases-by-region.md:117
000	https://www.canada.ca/en/library-archives/collection/research-help/genealogy-family-history/links.html	https://www.canada.ca/en/library-archives/collection/research-help/genealogy-family-history/links.html	references/local-databases-by-country.md:350
000	https://www.juntadeandalucia.es/cultura/archivos/	https://www.juntadeandalucia.es/cultura/archivos/	references/local-databases-by-country.md:175
000	https://www.memoiredeshommes.sga.defense.gouv.fr/	https://www.memoiredeshommes.sga.defense.gouv.fr/	references/local-databases-by-country.md:95
000	https://www.mjpo.gov.cy/mjpo/statearchive/	https://www.mjpo.gov.cy/mjpo/statearchive/	references/local-databases-by-country.md:270
200	http://ifhf.rootsireland.ie/online-sources.php	http://ifhf.rootsireland.ie/online-sources.php	references/uk-ireland-local-sources.md:60
200	https://23andme.com	https://www.23andme.org/en-int/	references/databases-by-region.md:292
200	https://adatbazisokonline.mnl.gov.hu/	https://adatbazisokonline.mnl.gov.hu/	references/local-databases-by-country.md:257
200	https://adressbuecher.genealogy.net/	https://adressbuecher.genealogy.net/	references/local-databases-by-country.md:148
200	https://agad.gov.pl	https://agad.gov.pl/	references/databases-by-region.md:131
200	https://agad.gov.pl/	https://agad.gov.pl/	references/local-databases-by-country.md:69,references/source-access-catalog.md:161
200	https://agatha.arch.be/	https://agatha.arch.be/en/	references/local-databases-by-country.md:114
200	https://ais.ra.ee/	https://ais.ra.ee/	references/local-databases-by-country.md:227,references/source-access-catalog.md:165
200	https://allefriezen.nl/	https://allefriezen.nl/	references/local-databases-by-country.md:122
200	https://anno.onb.ac.at/	https://anno.onb.ac.at/	references/local-databases-by-country.md:155
200	https://api.bnf.fr/	https://api.bnf.fr/	references/source-access-catalog.md:64
200	https://api.bnf.fr/fr/api-document-de-gallica	https://api.bnf.fr/fr/api-document-de-gallica	references/source-access-catalog.md:64
200	https://api.europeana.eu/	https://api.europeana.eu/en	references/source-access-catalog.md:62
200	https://api.openarchieven.nl	https://www.openarchieven.nl/api/docs/	references/source-access-catalog.md:45
200	https://apps.proni.gov.uk/eCatNI_IE/SearchPage.aspx	https://apps.proni.gov.uk/eCatNI_IE/SearchPage.aspx	references/uk-ireland-local-sources.md:71
200	https://archieven.nl	https://www.archieven.nl/nl/	references/local-databases-by-country.md:126
200	https://archifau.cymru/	https://archifau.cymru/	references/uk-ireland-local-sources.md:40
200	https://archion.de	https://www.archion.de/de/	references/databases-by-region.md:76
200	https://archive.hrantdink.org/?l=en	https://archive.hrantdink.org/?l=en	references/local-databases-by-country.md:274
200	https://archive.org/developers/index-apis.html	https://archive.org/developers/index-apis.html	references/source-access-catalog.md:55
200	https://archives.brussels.be/	https://archives.brussels.be/	references/local-databases-by-country.md:115
200	https://archives.gov	https://www.archives.gov/	references/databases-by-region.md:226
200	https://archives.gov.by	https://archives.gov.by/	references/databases-by-region.md:116
200	https://archives.novascotia.ca/vital-statistics	https://archives.novascotia.ca/vital-statistics/	references/local-databases-by-country.md:354
200	https://archives.services-publics.lu/	https://archives.services-publics.lu/	references/local-databases-by-country.md:118
200	https://archives.wales/welsh-archive-repositories	https://archives.wales/welsh-archive-repositories/	references/uk-ireland-local-sources.md:112
200	https://archives.wales/welsh-archive-repositories/	https://archives.wales/welsh-archive-repositories/	references/uk-ireland-local-sources.md:40
200	https://arhivsrbije.rs/	https://arhivsrbije.rs/	references/local-databases-by-country.md:264
200	https://arkivdigital.se	https://www.arkivdigital.se:443/	references/databases-by-region.md:190
200	https://arxiusenlinia.cultura.gencat.cat/	https://arxiusenlinia.cultura.gencat.cat/	references/local-databases-by-country.md:176
200	https://astia.narc.fi/uusiastia/	https://astia.narc.fi/uusiastia/	references/local-databases-by-country.md:220,references/source-access-catalog.md:147
200	https://automne.com	https://automne.com/	references/databases-by-region.md:242
200	https://bdmhistoricalrecords.dia.govt.nz	https://bdmhistoricalrecords.dia.govt.nz/	references/databases-by-region.md:256
200	https://beweb.chiesacattolica.it/beniarchivistici/	https://beweb.chiesacattolica.it/beniarchivistici/	references/local-databases-by-country.md:171
200	https://billiongraves.com	https://billiongraves.com/	SKILL.md:188,references/databases-by-region.md:45
200	https://canadiana.ca	https://www.canadiana.ca/	references/databases-by-region.md:240
200	https://cbj.jhi.pl/	https://www.jhi.pl/tymczasowe-wstrzymanie-dostepu-do-zasobow	references/local-databases-by-country.md:72
200	https://cemety.lt	https://cemety.lt/	references/local-databases-by-country.md:234
200	https://cemety.lt/	https://cemety.lt/	references/local-databases-by-country.md:234
200	https://cemety.lv	https://cemety.lv/	references/local-databases-by-country.md:231
200	https://cemety.lv/	https://cemety.lv/	references/local-databases-by-country.md:231
200	https://cemla.com/	https://cemla.com/	references/local-databases-by-country.md:188
200	https://collections.archives.govt.nz	https://collections.archives.govt.nz/	references/databases-by-region.md:255
200	https://collections.archives.govt.nz/	https://collections.archives.govt.nz/	references/local-databases-by-country.md:367,references/source-access-catalog.md:117
200	https://collections.arolsen-archives.org/	https://collections.arolsen-archives.org/	references/local-databases-by-country.md:152
200	https://collections.arolsen-archives.org/en/	https://collections.arolsen-archives.org/en/	references/source-access-catalog.md:177
200	https://collections.ushmm.org/search/	https://collections.ushmm.org/search/	references/source-access-catalog.md:178
200	https://compgen.de	https://www.compgen.de/	references/databases-by-region.md:79
200	https://data.digar.ee/	https://data.digar.ee/	references/local-databases-by-country.md:228
200	https://data.matricula-online.eu	https://data.matricula-online.eu/de/	references/databases-by-region.md:208,references/databases-by-region.md:77
200	https://data.matricula-online.eu/	https://data.matricula-online.eu/de/	references/local-databases-by-country.md:119,references/local-databases-by-country.md:142,references/source-access-catalog.md:81
200	https://dea.digar.ee/	https://dea.digar.ee/	references/local-databases-by-country.md:228
200	https://dea.lib.unideb.hu	https://dea.lib.unideb.hu/	references/databases-by-region.md:209
200	https://descopera.arhivelenationale.ro/	https://descopera.arhivelenationale.ro/	references/local-databases-by-country.md:260
200	https://developers.familysearch.org/	https://developers.familysearch.org/	references/source-access-catalog.md:41
200	https://developers.familysearch.org/main/llms.txt	https://developers.familysearch.org/main/llms.txt	references/source-access-catalog.md:41
200	https://developers.familysearch.org/main/page/places-endpoints	https://developers.familysearch.org/main/page/places-endpoints	references/source-access-catalog.md:87
200	https://developers.google.com/books	https://developers.google.com/books	references/source-access-catalog.md:56
200	https://digi.kansalliskirjasto.fi/	https://digi.kansalliskirjasto.fi/	references/local-databases-by-country.md:221
200	https://digitalarchives.wa.gov/	https://digitalarchives.wa.gov/	references/local-databases-by-country.md:344
200	https://digitalarkivet.no	https://www.digitalarkivet.no:443/	references/databases-by-region.md:192
200	https://digitalcollections.archives.nysed.gov/	https://digitalcollections.archives.nysed.gov/	references/local-databases-by-country.md:339
200	https://digitarq.arquivos.pt/	https://digitarq.arquivos.pt/	references/local-databases-by-country.md:177
200	https://discovery.nationalarchives.gov.uk/	https://discovery.nationalarchives.gov.uk/	references/local-databases-by-country.md:305,references/source-access-catalog.md:129
200	https://discovery.nationalarchives.gov.uk/find-an-archive	https://discovery.nationalarchives.gov.uk/find-an-archive	references/local-databases-by-country.md:306,references/uk-ireland-local-sources.md:103,references/uk-ireland-local-sources.md:17
